start_date,end_date,open_price,high_price,low_price,close_price,volume,market_cap,daily_return,volatility,market_trend,moving_avg_7,crash_flag,market_cap_growth
2024-04-08,2024-04-09,3456.3606,3724.6406,3422.8278,3699.5419,20463939705.55052,430431125658.2892,7.035761835729762,8.73209814971274,Bullish,3385.6032999999998,Normal,-0.5640152153603029
2024-04-07,2024-04-08,3360.5925,3463.4984,3352.8106,3462.0489,12749497898.470385,408159883981.9199,3.019003345392206,3.2936989533839687,Bullish,3429.355742857143,Normal,-5.174170813578661
2024-04-06,2024-04-07,3318.1087,3397.7313,3316.7243,3365.1664,16843599707.247389,401605907921.0488,1.418208511372754,2.4413606462018578,Bullish,3478.042571428571,Normal,-1.6057374372346223
2024-04-05,2024-04-06,3324.0272,3343.0863,3225.0019,3326.061,23831950603.118465,396494426863.8397,0.06118481822291212,3.5524498716496584,Bullish,3489.6086571428573,Normal,-1.272760424185282
2024-04-04,2024-04-05,3314.8306,3439.675,3262.6895,3331.3943,20347805872.010525,401101564956.0245,0.4996846596022178,5.339201948962346,Bullish,3463.1364714285714,Normal,1.1619679319646359
2024-04-03,2024-04-04,3283.1728,3365.8964,3221.5134,3321.2273,27226114831.296165,398621870510.1742,1.1590769757839183,4.397666793535823,Bullish,3430.8079,Normal,-0.6182210847574643
2024-04-02,2024-04-03,3511.5634,3511.5634,3229.8141,3279.5594,28351731556.358887,400451645261.00696,-6.606857788755854,8.023471824544018,Bearish,3397.857028571429,Normal,0.4590251780442811
2024-04-01,2024-04-02,3652.7203,3652.7203,3429.8378,3511.6981,18201134326.12892,425281550994.6167,-3.8607445524914645,6.101822250118635,Bearish,3371.0222000000003,Normal,6.200475395081995
2024-03-31,2024-04-01,3517.0681,3659.4654,3517.0681,3653.6502,14470853501.923346,433640851431.5122,3.883407887382109,4.048750150729242,Bullish,3398.393814285714,Normal,1.9655920689118478
2024-03-30,2024-03-31,3516.4117,3568.2412,3497.0488,3519.1419,16656105596.710802,423417638388.7979,0.07764164816082167,2.0245752225201588,Bullish,3420.390314285715,Normal,-2.3575299718571197
2024-03-29,2024-03-30,3567.225,3586.3339,3487.5848,3520.503,18536682158.29021,425081161185.0909,-1.309757584677158,2.768233010253068,Bearish,3448.167742857143,Normal,0.3928799004744077
2024-03-28,2024-03-29,3505.8286,3611.656,3476.2504,3567.0539,25601507536.755245,427348384029.5805,1.7463860041531998,3.862299486061585,Bullish,3481.8334,Normal,0.533362343833077
2024-03-27,2024-03-28,3591.1871,3660.0635,3470.6405,3509.6288,23415479518.853657,427963136941.0139,-2.2710679708111043,5.27466252036827,Bearish,3508.7479,Normal,0.1438528690893337
2024-03-26,2024-03-27,3587.7997,3676.7396,3553.2567,3595.4684,26064494721.574917,434136144727.8362,0.2137438163005636,3.4417445321710676,Bullish,3553.8777571428573,Normal,1.4424157722895403
2024-03-25,2024-03-26,3452.4423,3649.4378,3433.4649,3591.7146,19646724946.3554,422803962851.85016,4.034022523707337,6.255655597777846,Bullish,3565.3086857142853,Normal,-2.61028297542244
2024-03-24,2024-03-25,3345.325,3473.0892,3309.7432,3460.4793,16352496809.58885,405839941531.16376,3.442245521735561,4.882814076360295,Bullish,3537.7128428571427,Normal,-4.012266395580255
2024-03-23,2024-03-24,3331.1195,3431.2827,3288.2894,3356.3987,24481657007.91986,404503390067.9582,0.758880010158759,4.292649963473244,Bullish,3514.4638142857143,Normal,-0.32932970031559483
2024-03-22,2024-03-23,3505.3801,3551.8292,3265.4496,3326.7581,27183652182.027973,410744031950.0524,-5.0956528223572635,8.169716031650896,Bearish,3486.785971428571,Normal,1.5427909963982689
2024-03-21,2024-03-22,3509.118,3585.6894,3425.0405,3501.3058,44245048506.19512,422368503013.94775,-0.2226257424230205,4.578042117705935,Bearish,3477.393385714286,Normal,2.8301010263513504
2024-03-20,2024-03-21,3164.1316,3531.3412,3078.0581,3514.8143,47043055768.71777,395100234290.92334,11.083063043269117,14.32567153654417,Bullish,3478.1341714285713,Normal,-6.4560374479732285
2024-03-19,2024-03-20,3529.8262,3547.1665,3159.7787,3170.3712,37630296750.11498,399043149797.3066,-10.183362568955943,10.974698980929995,Bearish,3417.406,Crash,0.9979532190001139
2024-03-18,2024-03-19,3649.1913,3649.1913,3472.2709,3528.6413,25266583604.721256,428802919561.72125,-3.3034716486362385,4.848208423603333,Bearish,3408.3955285714287,Normal,7.457782392588652
2024-03-17,2024-03-18,3555.7336,3682.9814,3442.9855,3663.6151,30996885011.73171,431056161634.23694,3.034015259185895,6.74954670394881,Bullish,3437.414928571429,Normal,0.5254726518230557
2024-03-16,2024-03-17,3749.9245,3783.6849,3507.8981,3532.4625,31656354992.61324,442519542080.1777,-5.799103421948895,7.354462736516437,Bearish,3462.5669000000003,Normal,2.659370510441228
2024-03-15,2024-03-16,3894.5792,3933.1728,3607.824,3749.2041,44055756685.15035,447371462752.54193,-3.732755004699871,8.353888399547754,Bearish,3522.9163285714285,Normal,1.0964308264345801
2024-03-14,2024-03-15,4011.6396,4018.9962,3751.6579,3890.384,29713647292.99303,472220454419.5226,-3.022594552112806,6.664065735117379,Bearish,3578.4989285714287,Normal,5.554442725088515
2024-03-13,2024-03-14,3982.2827,4081.8289,3964.3421,4018.0569,33882154548.174217,483007794678.561,0.8983340133034713,2.950237560984812,Bullish,3650.390728571429,Normal,2.2843864889966925
2024-03-12,2024-03-13,4076.2673,4094.1757,3874.9522,3982.9636,34803694659.452965,481090290652.9268,-2.2889495004412477,5.378045252331701,Bearish,3766.475357142857,Normal,-0.3969923563884148
2024-03-11,2024-03-12,3889.3542,4083.2189,3807.2082,4073.1257,30778140301.30662,478841483542.5331,4.724987505637821,7.096568885394902,Bullish,3844.258842857143,Normal,-0.4674397205858605
2024-03-10,2024-03-11,3917.6319,3970.349,3835.2639,3895.0927,17353264580.226482,472096230521.8467,-0.5753271510781732,3.448131510262622,Bearish,3877.327071428572,Normal,-1.4086609561861918
